"id","park_name","address","type","fees","lights","indoor","courts"
4,"Echo Park","1632 Bellevue Ave, Los Angeles","Public","No","Yes","No","6"
5,"Elysian Park","835 Academy Rd, Los Angeles","Public","No","No","No","2"
9,"Lafayette Park","9386 Wilshire Blvd, Los Angeles","Public","No","Yes","No","2"
10,"Hazard Park","2230 Norfolk St, Los Angeles","Public","No","Yes","No","2"
11,"Lincoln Park","3501 Valley Blvd, Los Angeles","Public","No","No","No","4"
12,"Shatto Recreation Center","3191 W 4th St, Los Angeles","Public","No","Yes","No","4"
14,"Ross Snyder Recreation Center","1501 E 41st Street, Los Angeles","Public","No","No","No","2"
18,"Ruben Salazar Park","3864 Whittier Blvd, East Los Angeles","Public","No","No","No","2"
20,"Loren Miller Recreation Center","2717 Halldale Ave, Los Angeles","Public","No","Yes","No","2"
21,"Montecito Heights Recreation Center","4545 Homer St, Los Angeles","Public","No","No","No","1"
23,"South Park","345 E 51st St, Los Angeles","Public","No","Yes","No","2"
25,"Glassell Recreation Center","3650 Verdugo Rd, Los Angeles","Public","No","Yes","No","2"
27,"Exposition Park","3900 S Western Ave, Los Angeles","Public","No","No","No","1"
29,"Griffith - Riverside Park","3401 Riverside Dr, Los Angeles","Public","Yes","Yes","No","12"
31,"Bethune Park","1244 E 61st St, Florence-Graham","Public","No","Yes","No","1"
32,"Hermon Park","5566 Via Marisol, Los Angeles","Public","No","Yes","No","11"
34,"Queen Anne Recreation Center","1240 West Blvd, Los Angeles","Public","No","Yes","No","4"
37,"Highlands Park","400 Casuda Canyon Drive, Monterey Park","Public","No","Yes","No","2"
38,"Sunnyslopes Park","1601 Sunnyslope Dr, Monterey Park","Public","No","Yes","No","2"
43,"Granada Park","2000 W Hellman Ave, Alhambra","Public","No","No","No","2"
44,"Salt Lake Park","3401 E Florence Ave, Huntington Park","Public","No","Yes","No","5"
46,"Harvard Recreation Center","1535 W 62nd St, Los Angeles","Public","No","Yes","No","8"
49,"Yosemite Recreation Center","1840 Yosemite Dr, Los Angeles","Public","No","Yes","No","2"
50,"Van Ness Recreation Center","5720 2nd Ave, Los Angeles","Public","No","Yes","No","2"
51,"Griffith Park","4730 Crystal Springs Dr, Los Angeles","Public","No","Yes","No","4"
56,"Alhambra Park","500 N Palm Ave, Alhambra","Public","No","Yes","No","5"
59,"Rancho Cienega Tennis Center","5001 Rodeo Rd, Los Angeles","Public","Yes","Yes","No","12"
61,"Orange Grove Park","815 Mission St, South Pasadena","Public","No","Yes","No","2"
63,"Leon H Washington Park","8908 Maie Avenue, Florence-Graham","Public","No","Yes","No","2"
64,"Saybrook Park","6250 E Northside Dr, East Los Angeles","Public","No","No","No","1"
68,"Plummer Park","1200 N Vista St, Los Angeles","Public","No","Yes","No","4"
70,"Jim Gilliam Park","4000 S La Brea Ave, Los Angeles","Public","No","Yes","No","4"
72,"George Elder Park","1950 Wilcox Ave, Monterey Park","Public","No","No","No","4"
73,"Live Oaks Tennis Association","1500 Oak Meadow Ln, South Pasadena","Public","Yes","Yes","No","4"
74,"Algin Sutton Recreation Center","8800 S Hoover St, Los Angeles","Public","No","Yes","No","2"
75,"Clara Street Park","4835 Clara St, Cudahy","Public","No","No","No","3"
81,"Garfield Park","1777 Grevelia St, South Pasadena","Public","No","Yes","No","2"
84,"Fremont Park","600 Hahn Ave, Glendale","Public","Yes","Yes","No","8"
85,"Will Rogers Memorial Park","1501 Will Rogers Park Rd, Los Angeles","Public","No","Yes","No","4"
89,"St Andrews Recreation Center","8701 S St Andrews Place, Los Angeles","Public","No","Yes","No","3"
90,"St Andrews Recreation Center","8701 S St Andrews Place, Los Angeles","Public","No","Yes","No","3"
92,"Allendale Park","1130 S Marengo Avenue, Pasadena","Public","No","Yes","No","1"
93,"Cudahy City Park","5220 Santa Ana St, Cudahy","Public","No","No","No","1"
96,"La Cienega Tennis Center","325 South La Cienega Blvd, Beverly Hills","Public","Yes","Yes","No","16"
97,"La Cienega Tennis Center","325 S La Cienega Blvd, Los Angeles","Public","Yes","Yes","No","16"
98,"Almansor Park","800 S Almansor St, Alhambra","Public","No","Yes","No","3"
99,"North Park","625 E Hargrave St, Inglewood","Public","No","No","No","3"
101,"Glendale Community College","1500 N Verdugo Rd, Glendale","Public","No","Yes","No","6"
102,"Montebello City Park","1300 W Whittier Blvd, Montebello","Public","No","Yes","No","4"
103,"South Gate Park","4900 Southern Avenue, South Gate","Public","No","Yes","No","6"
104,"Scholl Canyon Tennis Center","3800 E Glenoaks Blvd, Glendale","Public","Yes","Yes","No","10"
107,"Edward Vincent Jr Park","700 Warren Ln, Inglewood","Public","No","Yes","No","8"
111,"Veterans Park","6662 Loveland St, Bell Gardens","Public","No","Yes","No","2"
113,"Brookside Park","360 N Arroyo Blvd, Pasadena","Public","No","Yes","No","5"
114,"Darby Park","3400 W Arbor Vitae St, Inglewood","Public","No","Yes","No","2"
115,"San Marino Tennis Center","1196 Saint Albans Road, San Marino","Public","Yes","No","No","6"
116,"Mountain View Park","1401 W Riverside Dr, Burbank","Public","No","No","No","2"
121,"Potrero Heights Park","8051 Arroyo Dr, South San Gabriel","Public","No","No","No","2"
123,"Smith Park","232 West Broadway, San Gabriel","Public","No","Yes","No","2"
126,"Rogers Park","400 West Beach Ave, Inglewood","Public","No","Yes","No","2"
131,"Furman Park","10419 Rives Ave, Downey","Public","No","Yes","No","4"
133,"Emerald Isle Park","2310 Lenore Dr, Glendale","Public","No","No","No","2"
134,"Grant Park","232 South Michigan Ave, Pasadena","Public","No","Yes","No","2"
136,"Roxbury Memorial Park","471 Roxbury Dr, Beverly Hills","Public","No","Yes","No","4"
